LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-08-02 23:12:54,1900-01-00 00:00:00,,F0:2F:A7:C5:DF:0C,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:54,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:55,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:56,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-08-02 23:12:57,1900-01-00 00:00:00,Fire Hotline,F0:2F:A7:C5:DF:0C,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
